,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,RH2M,T2M,WS2M,PREC_lag1,PREC_lag2,PREC_lag4,PREC_lag8,T2M_lag1,T2M_lag2,T2M_lag4,T2M_lag8,RH2M_lag1,RH2M_lag2,RH2M_lag4,RH2M_lag8,PREC_roll4_mean,PREC_roll4_std,PREC_roll12_mean,PREC_roll12_std,T2M_roll4_mean,T2M_roll12_mean,week_sin,week_cos,None_lag1,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,None_lag2,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,heat_dry_stress
PREC_roll12_mean,0.46293444064965944,0.2927898430617091,0.109018700782974,0.09967178052394923,0.6512685097641373,0.38783944085533173,0.4479174176245823,0.49723833823301256,0.5539291533112864,0.5678770171320378,0.6867164777957867,0.718249131971165,0.744919813277357,0.676009705019396,0.15355664007292605,0.15081356343404692,0.11999567104066072,0.060926896392829825,0.739447128467925,0.5957413339652244,1.0,0.8350090487575602,0.7457152286480196,0.7453861173632199,0.5999737569102361,0.5417426008862612,0.41847671970815314,0.41847671970815314,0.2726831577445523,0.2188411366967885,0.14648172498367895,0.07509588300930314,0.3926770843358565,0.39267708433585663,0.24754254628006098,0.2046971910230887,0.1359581388999659,0.07461096053375436,0.48176367601583786
PREC_roll12_std,0.2490060851484955,0.24661965612326334,0.06189976294706332,0.25036681105060754,0.3824930880060491,0.3212503111847108,0.3974490749311222,0.42545144631344556,0.4515224676892733,0.4681365660425944,0.4123248432508298,0.4396141554800902,0.4806397946095679,0.4878347673476833,0.29254553114742404,0.2741286179537127,0.20293934043981374,0.07533438665953043,0.6264553002902569,0.6402691298106495,0.8350090487575602,1.0,0.4643104497465775,0.510852399422016,0.43607280470456816,0.3143190463746034,0.390297584468528,0.390297584468528,0.26356926741067954,0.2082144291374333,0.13088034705105497,0.06410902919105113,0.3577333268995334,0.3577333268995334,0.2341720514468158,0.19130112780294836,0.1179223818002703,0.060397059566026534,0.22988736269071433
T2M_roll4_mean,0.7019783997455336,0.3743821029513886,0.2659691995769473,0.3275357892204731,0.9113795801707616,0.3183602753813511,0.3904893206778977,0.4066415937751048,0.42428493059201766,0.40865116601872803,0.958703319160803,0.9775652756086772,0.958922068352837,0.7385015134464256,0.3433742557953923,0.34312671395386063,0.3234012077850371,0.23705738854037903,0.5970940922920398,0.4126984406346423,0.7457152286480196,0.4643104497465775,1.0,0.8742854490601166,0.5707622334721972,0.7882786464958547,0.1357428357570707,0.1357428357570707,0.006285043174832752,0.010755614419660935,0.03128068686291509,0.03516091738301912,0.12536861212484135,0.12536861212484135,0.017907714360043965,0.006791369349898715,0.021549315564067653,0.02233299610935873,0.847348102934335
T2M_roll12_mean,0.341560605192812,0.21987278628975707,0.04124544545750303,0.2362302289337867,0.6702150974601587,0.3900625824271084,0.2639147219658839,0.307677845062519,0.3744202186265041,0.44248426798978346,0.7556792760126089,0.8251087734991948,0.923687757284375,0.9522043190963596,0.2670312880202125,0.2894325922162423,0.3243614413052153,0.33474873577433434,0.4694949892362294,0.36074743387733477,0.7453861173632199,0.510852399422016,0.8742854490601166,1.0,0.8849978015868064,0.4301247000169514,0.15857626489097734,0.15857626489097734,0.037793609004154446,0.020638166790649587,0.061417149383800065,0.0819324604840905,0.15448250890238324,0.15448250890238324,0.02611885017226186,0.018848720857380145,0.05511951263214644,0.07243752514166503,0.6319182357362051
week_sin,0.07964924500998097,0.016871343337378438,0.18016587805357753,0.08635351965741309,0.29913506500934517,0.3746156752309586,0.07211868168632914,0.12929143437990834,0.23383656418627027,0.39885605810771957,0.40724527635360236,0.5093704745282944,0.6896091061591839,0.9173917226384719,0.12029862774213756,0.15110505807643113,0.2094893264639558,0.28832860780815256,0.2247730600726276,0.20375778293859545,0.5999737569102361,0.43607280470456816,0.5707622334721972,0.8849978015868064,1.0,0.009083709587866029,0.15603593612981112,0.15603593612981112,0.08064722789065412,0.009891010334775427,0.06108592479885272,0.09058335949712572,0.1618826010303886,0.1618826010303886,0.07195585962828295,0.011016923556216323,0.059953254183411867,0.08652406372515557,0.2873052974372898
week_cos,0.9336239927804362,0.46489668815578944,0.4351924457875128,0.27367716817801735,0.9041604361306993,0.1619623909940662,0.4576847636241627,0.4495367514264076,0.402838960506532,0.24467368509049559,0.8600924921041843,0.803383510300183,0.654919638692842,0.25573592443547516,0.26127578626827647,0.2422422387012694,0.19793295089956273,0.07809146930566002,0.6331473330055988,0.3952529110224947,0.5417426008862612,0.3143190463746034,0.7882786464958547,0.4301247000169514,0.009083709587866029,1.0,0.07396008843623395,0.07396008843623395,0.058471404605196585,0.004652309457246042,0.009171111789589865,0.030185396861805925,0.05375837311165253,0.05375837311165251,0.06780999257899328,0.002896975781538543,0.016831318826414553,0.04110567396293636,0.812107952725368
None_lag1,0.06135473582104958,0.06336028122239953,0.04668897701542448,0.26266703779132866,0.1137337555917092,0.10963509537458142,0.09215466147931198,0.16695585891539233,0.23839523855798359,0.24527391947875193,0.11969281193181872,0.12463304661048358,0.14441169666408185,0.15124607688436748,0.30086965998263804,0.3512175331541224,0.3836331344159032,0.3303328708075111,0.25727275906232494,0.20810001670333958,0.41847671970815314,0.390297584468528,0.1357428357570707,0.15857626489097734,0.15603593612981112,0.07396008843623395,1.0,1.0,0.7171305663907264,0.5098850737907863,0.3310837734068928,0.18227125030219457,0.9246991776759361,0.9246991776759361,0.7088252618039178,0.5093460640822927,0.3309756913720548,0.18227125030219504,0.0019110563322013577
D0_lag1,0.06135473582104958,0.06336028122239953,0.046688977015424474,0.26266703779132866,0.1137337555917092,0.10963509537458142,0.09215466147931198,0.16695585891539233,0.23839523855798359,0.24527391947875193,0.11969281193181872,0.12463304661048358,0.14441169666408185,0.15124607688436748,0.30086965998263804,0.3512175331541224,0.3836331344159032,0.33033287080751117,0.25727275906232494,0.20810001670333964,0.41847671970815314,0.390297584468528,0.1357428357570707,0.15857626489097734,0.15603593612981112,0.07396008843623395,1.0,1.0,0.7171305663907264,0.5098850737907863,0.3310837734068928,0.18227125030219457,0.9246991776759361,0.9246991776759361,0.7088252618039178,0.5093460640822928,0.33097569137205485,0.18227125030219504,0.0019110563322013595
D1_lag1,0.06053629772721935,0.02030742031420076,0.020416756419257862,0.30246373085905787,0.030100516022048763,0.04984534872778271,0.04330718819213378,0.09540869234784871,0.13443963893661098,0.16700679242377156,0.020495177094614903,0.012777603051036633,0.01064197689717749,0.050215674304537515,0.3341916914904623,0.37268902927812436,0.3831715256347242,0.3602363241721308,0.1440228909633367,0.11116217206220723,0.2726831577445523,0.26356926741067954,0.006285043174832752,0.037793609004154446,0.08064722789065412,0.058471404605196585,0.7171305663907264,0.7171305663907264,1.0,0.7578804356178873,0.49510206449788374,0.2728608153229429,0.7173713564249513,0.7173713564249513,0.9505659716566208,0.7536606149317685,0.4947431392216943,0.2728608153229428,0.13188845677720032
D2_lag1,0.0006947488416417548,0.04868631172594512,0.019095239536142426,0.26107764520376814,0.0016826506091061758,0.0004717294998779771,0.06470197061426769,0.0916940033250103,0.10585543257381762,0.12918467477770101,0.004524104260767111,0.009608528308920247,0.015008455926999977,0.022646776836266442,0.2942539621628671,0.32331854013295935,0.34858308617876893,0.3644421641690357,0.13142973985796474,0.09264464667340351,0.2188411366967885,0.2082144291374333,0.010755614419660935,0.020638166790649587,0.009891010334775427,0.004652309457246042,0.5098850737907863,0.5098850737907863,0.7578804356178873,1.0,0.6960592340134264,0.38593519653733804,0.5104957122411327,0.5104957122411327,0.7574164940176357,0.9665938399768692,0.6908319981598788,0.3859359637436178,0.09055117528043871
